model,cat,strategy,divider,overlap,met,score
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,map50,0.002
rtdetr-l,A_unfinetuned,bo_exploration,3.0,0.42,map50,0.6176
rtdetr-l,A_unfinetuned,bo_exploitation,2.0,0.16,map50,0.4647
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,map50,0.6425
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0121
rtdetr-l,B_finetuned_unsupervised,bo_exploration,2.0,0.28,map50,0.4755
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,3.0,0.19,map50,0.6895
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7399
rtdetr-l,C_finetuned_supervised,bo_exploration,4.0,0.0,map50,0.7573
rtdetr-l,C_finetuned_supervised,bo_exploitation,2.0,0.26,map50,0.473
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7573
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,map50,0.0
rtdetr-l,A_unfinetuned,bo_exploration,2.0,0.34,map50,0.4593
rtdetr-l,A_unfinetuned,bo_exploitation,3.0,0.5,map50,0.6925
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,map50,0.7497
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0004
rtdetr-l,B_finetuned_unsupervised,bo_exploration,3.0,0.49,map50,0.5877
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,3.0,0.05,map50,0.5851
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.6292
rtdetr-l,C_finetuned_supervised,bo_exploration,3.0,0.04,map50,0.5903
rtdetr-l,C_finetuned_supervised,bo_exploitation,3.0,0.11,map50,0.5897
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.6312
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,map50,0.0011
rtdetr-l,A_unfinetuned,bo_exploration,3.0,0.5,map50,0.5143
rtdetr-l,A_unfinetuned,bo_exploitation,3.0,0.18,map50,0.513
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,map50,0.5588
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0004
rtdetr-l,B_finetuned_unsupervised,bo_exploration,4.0,0.5,map50,0.6298
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,3.0,0.25,map50,0.6038
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.6298
rtdetr-l,C_finetuned_supervised,bo_exploration,2.0,0.09,map50,0.4281
