model,n_samples,split,strategy,n_obs,map_mean,map_std,f1_mean,f1_std,pre_mean,pre_std,rec_mean,rec_std
yolo11n,256,test_b01,baseline,51,0.6437098039215686,0.06969555295684787,0.6565941176470588,0.05664121966117859,0.6807235294117647,0.050363632070117,0.6361882352941176,0.0689746029986656
yolo11n,256,test_b01,grid_search,51,0.5513941176470588,0.1332261031656555,0.608,0.1094695446231508,0.5972352941176471,0.1254036424088701,0.6232509803921569,0.09818483665525754
yolo11n,256,test_b02,baseline,51,0.7269274509803922,0.07017270716861757,0.7221843137254902,0.05364245472589419,0.7325705882352941,0.08653724815157376,0.7171352941176471,0.03982963129896841
yolo11n,256,test_b02,grid_search,51,0.6792823529411764,0.08400175404331114,0.6864529411764707,0.06653958025999616,0.6903627450980392,0.09469378007194414,0.6896235294117647,0.06022997787891105
yolo11n,256,test_b03,baseline,51,0.6010039215686275,0.08784802322371134,0.5508647058823529,0.0992272539648849,0.7072568627450981,0.18339653568691197,0.4714137254901961,0.08498292539000488
yolo11n,256,test_b03,grid_search,51,0.3625470588235294,0.1090517168190234,0.3424980392156863,0.0947095866112741,0.35240392156862743,0.16561565621738097,0.38215098039215684,0.08921948525417307
yolo11n,1024,test_a01,baseline,51,0.9551254901960784,0.0038727686807892296,0.9425450980392157,0.004816899987564208,0.944056862745098,0.008211802601182294,0.9411117647058823,0.007123668915911914
yolo11n,1024,test_a01,grid_search,51,0.9386137254901962,0.008223673622119076,0.8997274509803921,0.015501097747338707,0.9054274509803921,0.02682093270884794,0.8951156862745098,0.026105657414047405
yolo11n,1024,test_a02,baseline,51,0.8227156862745099,0.024944405164677868,0.8303,0.018147815295511453,0.8290215686274509,0.02071032895659063,0.8320470588235294,0.02460209221136427
yolo11n,1024,test_a02,grid_search,50,0.767684,0.031131264946077236,0.778626,0.019991251249749525,0.788888,0.036964730238873006,0.77027,0.02888590681015394
yolo11n,1024,test_a03,baseline,50,0.77227,0.03344322175916448,0.773134,0.026166138033569968,0.8077580000000001,0.026085096925881887,0.741524,0.02833573902552124
yolo11n,1024,test_a03,grid_search,50,0.741584,0.040588534422058294,0.772266,0.040077209208715915,0.7842600000000001,0.03874456380564626,0.76146,0.04704506740718881
yolo11n,1024,test_b01,baseline,50,0.732198,0.03984303636695846,0.73113,0.03033910556576468,0.737758,0.0367069313923801,0.725702,0.03598304867346198
yolo11n,1024,test_b01,grid_search,50,0.583418,0.06767836808111177,0.634966,0.058386326362620644,0.623448,0.07233056553217375,0.649926,0.058004422104469495
yolo11n,1024,test_b02,baseline,50,0.7631220000000001,0.04886639548977666,0.744182,0.0386482340595061,0.7714799999999999,0.06990683304314714,0.72276,0.03830908668252194
yolo11n,1024,test_b02,grid_search,50,0.736958,0.053904466097960034,0.7323900000000001,0.04138978110103796,0.7457699999999999,0.06893982069566924,0.724298,0.05000169993028602
yolo11n,1024,test_b03,baseline,50,0.6495439999999999,0.06208200028336452,0.5966859999999999,0.08272898218809142,0.76437,0.1461886804992864,0.500698,0.07132877740235201
yolo11n,1024,test_b03,grid_search,50,0.403038,0.10654187428194704,0.40341,0.09859186175380619,0.378784,0.13943455836092475,0.45875,0.08906807589061944
